"","Date","GRAND LARCENY","FELONY ASSAULT","ROBBERY","BURGLARY","GRAND LARCENY OF MOTOR VEHICLE","RAPE","MURDER"
"1",2006-01-01,233,89,55,38,37,47,5
"2",2006-01-02,104,33,60,39,48,3,3
"3",2006-01-03,124,26,73,65,47,7,1
"4",2006-01-04,114,45,78,74,49,2,1
"5",2006-01-05,127,40,69,68,47,1,0
"6",2006-01-06,150,53,80,96,44,2,1
"7",2006-01-07,89,39,62,46,45,6,1
"8",2006-01-08,98,50,67,50,44,1,2
"9",2006-01-09,138,43,74,92,35,7,3
"10",2006-01-10,136,35,62,80,35,7,2
"11",2006-01-11,125,39,69,65,44,1,2
"12",2006-01-12,126,46,72,72,43,6,0
"13",2006-01-13,165,61,105,90,38,4,0
"14",2006-01-14,108,44,69,43,46,8,4
"15",2006-01-15,104,37,57,35,38,6,1
"16",2006-01-16,86,32,50,49,34,6,1
"17",2006-01-17,110,32,74,71,51,3,1
"18",2006-01-18,117,32,74,80,43,5,1
"19",2006-01-19,145,38,70,68,56,5,2
"20",2006-01-20,164,44,72,85,49,5,1
"21",2006-01-21,121,42,60,58,50,4,1
"22",2006-01-22,93,47,58,42,41,6,2
"23",2006-01-23,122,42,80,68,44,6,2
"24",2006-01-24,109,38,72,74,41,6,1
"25",2006-01-25,128,27,75,64,41,4,2
"26",2006-01-26,112,25,51,50,34,1,0
"27",2006-01-27,130,44,63,83,29,5,1
"28",2006-01-28,110,48,58,46,39,4,1
"29",2006-01-29,81,62,50,39,42,7,2
"30",2006-01-30,126,45,56,67,38,4,1
"31",2006-01-31,81,20,65,71,42,4,0
"32",2006-02-01,187,33,53,64,38,20,2
"33",2006-02-02,112,45,62,65,33,3,1
"34",2006-02-03,130,37,74,84,48,4,3
"35",2006-02-04,99,62,61,44,38,2,1
"36",2006-02-05,84,47,46,37,26,1,6
"37",2006-02-06,111,34,62,61,38,2,0
"38",2006-02-07,98,28,62,45,47,2,1
"39",2006-02-08,95,33,48,51,43,4,0
"40",2006-02-09,126,23,56,64,40,4,2
"41",2006-02-10,149,41,61,86,47,6,0
"42",2006-02-11,110,47,58,54,53,3,1
"43",2006-02-12,51,27,30,21,19,3,1
"44",2006-02-13,80,23,43,57,32,1,0
"45",2006-02-14,122,28,48,54,26,6,1
"46",2006-02-15,98,35,61,47,36,5,1
"47",2006-02-16,104,43,73,59,30,3,1
"48",2006-02-17,145,50,75,91,37,6,4
"49",2006-02-18,91,39,40,49,38,1,0
"50",2006-02-19,88,48,53,29,34,7,4
"51",2006-02-20,98,35,41,42,38,3,0
"52",2006-02-21,108,29,47,81,37,2,1
"53",2006-02-22,107,31,39,59,35,5,0
"54",2006-02-23,123,24,38,67,41,2,2
"55",2006-02-24,77,30,49,59,38,4,4
"56",2006-02-25,81,55,46,40,35,5,3
"57",2006-02-26,74,42,37,23,33,5,0
"58",2006-02-27,118,37,47,68,40,1,2
"59",2006-02-28,106,38,77,74,49,6,2
"60",2006-03-01,185,39,55,60,41,17,0
"61",2006-03-02,102,40,41,63,29,3,1
"62",2006-03-03,139,35,72,77,46,0,1
"63",2006-03-04,95,54,39,45,28,4,1
"64",2006-03-05,78,52,53,38,50,2,3
"65",2006-03-06,119,40,69,76,34,2,2
"66",2006-03-07,96,37,61,65,30,4,0
"67",2006-03-08,106,36,66,55,31,6,0
"68",2006-03-09,124,35,62,68,44,2,1
"69",2006-03-10,119,43,69,80,41,5,0
"70",2006-03-11,115,58,60,46,43,1,2
"71",2006-03-12,75,60,50,31,43,7,1
"72",2006-03-13,139,42,76,68,39,4,0
"73",2006-03-14,123,42,64,74,32,2,1
"74",2006-03-15,126,29,57,70,36,2,0
"75",2006-03-16,134,36,54,55,39,2,1
"76",2006-03-17,135,47,71,82,30,3,0
"77",2006-03-18,107,46,54,53,29,2,1
"78",2006-03-19,91,54,47,34,38,3,2
"79",2006-03-20,109,54,63,75,41,5,0
"80",2006-03-21,106,48,48,52,31,1,2
"81",2006-03-22,115,30,61,72,38,2,0
"82",2006-03-23,125,38,52,61,44,1,0
"83",2006-03-24,133,47,60,84,37,5,0
"84",2006-03-25,104,43,60,40,66,7,3
"85",2006-03-26,90,47,54,46,32,5,0
"86",2006-03-27,121,33,66,76,46,7,1
"87",2006-03-28,126,31,60,61,30,4,1
"88",2006-03-29,113,50,54,69,35,2,1
"89",2006-03-30,105,48,51,64,37,4,2
"90",2006-03-31,137,53,50,58,36,6,1
"91",2006-04-01,163,51,68,57,45,17,5
"92",2006-04-02,81,56,62,28,47,0,2
"93",2006-04-03,108,39,57,50,35,1,0
"94",2006-04-04,112,38,59,63,32,6,0
"95",2006-04-05,98,46,54,63,41,1,0
"96",2006-04-06,140,38,56,57,29,4,3
"97",2006-04-07,137,50,72,88,43,10,0
"98",2006-04-08,96,52,64,43,52,5,2
"99",2006-04-09,76,59,39,22,33,4,1
"100",2006-04-10,121,40,55,69,40,2,2
"101",2006-04-11,105,33,57,51,40,2,1
"102",2006-04-12,125,41,54,79,34,3,1
"103",2006-04-13,122,54,51,51,35,1,0
"104",2006-04-14,121,41,50,48,52,3,2
"105",2006-04-15,121,56,59,54,37,6,1
"106",2006-04-16,92,45,50,55,39,3,1
"107",2006-04-17,108,45,47,62,49,3,3
"108",2006-04-18,98,41,49,46,44,2,0
"109",2006-04-19,115,50,44,52,34,8,2
"110",2006-04-20,118,54,50,51,44,3,1
"111",2006-04-21,127,42,62,77,53,4,1
"112",2006-04-22,113,36,52,52,39,1,3
"113",2006-04-23,97,51,43,45,36,4,1
"114",2006-04-24,119,46,70,66,55,3,1
"115",2006-04-25,98,47,47,60,44,5,2
"116",2006-04-26,117,39,51,55,43,2,2
"117",2006-04-27,123,36,65,71,37,2,1
